Scenario_Name,Cost_Type,Duration_Type,Year_Index,Total_Budget_M,Annual_Spend_M,Cumulative_Progress_%
Med (France/UK) / Disaster_Time,Med (France/UK),Disaster_Time,10,7700.0,340.15779043272494,0.9785418334097657
Med (France/UK) / Disaster_Time,Med (France/UK),Disaster_Time,11,7700.0,127.70637415871039,0.995127076807001
Med (France/UK) / Disaster_Time,Med (France/UK),Disaster_Time,12,7700.0,37.52150858609295,1.0
High (US/Vogtle) / Brochure_Time,High (US/Vogtle),Brochure_Time,1,12100.0,419.5558102083964,0.034674033901520365
High (US/Vogtle) / Brochure_Time,High (US/Vogtle),Brochure_Time,2,12100.0,2891.5123571882928,0.27364199730551153
High (US/Vogtle) / Brochure_Time,High (US/Vogtle),Brochure_Time,3,12100.0,5477.86366520662,0.7263580026944884
High (US/Vogtle) / Brochure_Time,High (US/Vogtle),Brochure_Time,4,12100.0,2891.5123571882946,0.9653259660984796
High (US/Vogtle) / Brochure_Time,High (US/Vogtle),Brochure_Time,5,12100.0,419.5558102083961,1.0
High (US/Vogtle) / Realistic_Time,High (US/Vogtle),Realistic_Time,1,12100.0,131.9385601485981,0.01090401323542133
High (US/Vogtle) / Realistic_Time,High (US/Vogtle),Realistic_Time,2,12100.0,662.238926273232,0.0656345030100686
High (US/Vogtle) / Realistic_Time,High (US/Vogtle),Realistic_Time,3,12100.0,1939.0588919698926,0.22588730399931592
High (US/Vogtle) / Realistic_Time,High (US/Vogtle),Realistic_Time,4,12100.0,3316.763621608278,0.5
High (US/Vogtle) / Realistic_Time,High (US/Vogtle),Realistic_Time,5,12100.0,3316.763621608277,0.7741126960006841
High (US/Vogtle) / Realistic_Time,High (US/Vogtle),Realistic_Time,6,12100.0,1939.0588919698932,0.9343654969899314
High (US/Vogtle) / Realistic_Time,High (US/Vogtle),Realistic_Time,7,12100.0,662.2389262732324,0.9890959867645788
High (US/Vogtle) / Realistic_Time,High (US/Vogtle),Realistic_Time,8,12100.0,131.93856014859767,1.0
High (US/Vogtle) / Disaster_Time,High (US/Vogtle),Disaster_Time,1,12100.0,58.96237063528872,0.004872923192999068
High (US/Vogtle) / Disaster_Time,High (US/Vogtle),Disaster_Time,2,12100.0,200.68144510654506,0.021458166590234196
High (US/Vogtle) / Disaster_Time,High (US/Vogtle),Disaster_Time,3,12100.0,534.5336706799964,0.06563450301006861
High (US/Vogtle) / Disaster_Time,High (US/Vogtle),Disaster_Time,4,12100.0,1114.3700089807094,0.15773119796715201
High (US/Vogtle) / Disaster_Time,High (US/Vogtle),Disaster_Time,5,12100.0,1818.4851851577966,0.30801922979837487
High (US/Vogtle) / Disaster_Time,High (US/Vogtle),Disaster_Time,6,12100.0,2322.967319439664,0.5
High (US/Vogtle) / Disaster_Time,High (US/Vogtle),Disaster_Time,7,12100.0,2322.967319439664,0.6919807702016252
High (US/Vogtle) / Disaster_Time,High (US/Vogtle),Disaster_Time,8,12100.0,1818.4851851577966,0.8422688020328479
High (US/Vogtle) / Disaster_Time,High (US/Vogtle),Disaster_Time,9,12100.0,1114.3700089807091,0.9343654969899314
High (US/Vogtle) / Disaster_Time,High (US/Vogtle),Disaster_Time,10,12100.0,534.5336706799964,0.9785418334097657
High (US/Vogtle) / Disaster_Time,High (US/Vogtle),Disaster_Time,11,12100.0,200.6814451065449,0.995127076807001
High (US/Vogtle) / Disaster_Time,High (US/Vogtle),Disaster_Time,12,12100.0,58.96237063528892,1.0
